timetag,open,high,low,close,volumn,amount
19910701,136.64,138.62,136.56,136.85,22940.0,12469000.00
19910702,135.91,135.96,135.69,135.96,2838.0,3794000.00
19910703,135.28,135.96,134.98,135.27,2715.0,1818000.00
19910704,136.63,136.63,134.19,136.63,13394.0,8095000.00
19910705,136.01,137.68,135.90,135.96,14540.0,9394000.00
19910708,135.26,135.28,134.93,135.28,5874.0,2925000.00
19910709,136.56,136.57,134.31,134.64,8442.0,4174000.00
19910710,134.40,135.60,133.72,133.99,6023.0,2894000.00
19910711,133.22,133.99,133.13,133.38,5073.0,2417000.00
19910712,132.80,133.38,132.42,132.80,3144.0,1484000.00
19910715,133.90,134.10,131.87,133.14,11938.0,5534000.00
19910716,134.39,134.47,133.14,134.47,2796.0,1328000.00
19910717,135.81,135.81,135.39,135.81,660.0,397000.00
19910718,137.17,137.17,135.81,137.17,847.0,464000.00
19910719,137.66,138.54,136.66,136.70,10823.0,5242000.00
19910722,138.07,138.07,136.70,138.07,2764.0,1423000.00
19910723,139.35,139.39,138.07,139.39,7241.0,3548000.00
19910724,140.66,140.74,138.69,140.68,5988.0,2901000.00
19910725,140.20,141.01,139.99,140.19,8390.0,4080000.00
19910726,140.11,141.46,139.27,140.66,9279.0,4520000.00
19910729,141.22,141.72,140.81,141.52,4771.0,2350000.00
19910730,142.39,142.45,141.39,142.39,5601.0,2718000.00
19910731,143.72,143.80,142.39,143.80,4051.0,1993000.00
19910801,145.12,145.24,143.80,145.24,4731.0,2310000.00
19910802,146.49,146.68,145.44,146.68,11744.0,5825000.00
19910805,148.06,148.15,146.68,148.15,5126.0,2593000.00
19910806,149.62,149.62,148.15,149.62,2001.0,1065000.00
19910807,150.93,151.12,149.62,151.12,1107.0,580000.00
19910808,152.57,152.61,151.12,152.61,1951.0,1045000.00
19910809,153.90,154.10,152.61,154.10,3715.0,1990000.00
19910812,155.34,155.54,154.10,155.54,3919.0,2154000.00
19910813,156.87,157.07,155.54,157.07,20039.0,10529000.00
19910814,158.30,158.63,158.11,158.63,5480.0,2929000.00
19910815,159.92,160.21,158.63,160.21,1537.0,850000.00
19910816,161.56,161.60,160.21,161.60,984.0,581000.00
19910819,163.21,163.21,161.60,163.21,985.0,614000.00
19910820,164.74,164.84,163.21,164.84,573.0,388000.00
19910821,166.49,166.49,164.84,166.49,3411.0,2106000.00
19910822,167.81,168.16,166.49,168.16,1296.0,845000.00
19910823,169.81,169.81,168.16,169.81,605.0,502000.00
19910826,171.51,171.51,169.81,171.51,643.0,518000.00
19910827,173.06,173.19,171.51,173.19,796.0,520000.00
19910828,174.82,174.92,173.19,174.92,804.0,511000.00
19910829,176.53,176.66,174.92,176.66,2608.0,1629000.00
19910830,178.20,178.43,176.66,178.43,6759.0,4219000.00
19910902,180.08,180.22,178.43,180.22,1408.0,886000.00
19910903,181.71,181.97,180.22,181.97,1475.0,940000.00
19910904,183.66,183.69,181.97,183.69,650.0,470000.00
19910905,185.48,185.51,183.69,185.51,1514.0,1095000.00
19910906,187.09,187.36,185.51,187.36,2765.0,1761000.00
19910909,189.10,189.24,187.36,189.24,3552.0,2349000.00
19910910,190.98,190.98,188.19,188.33,33434.0,21507000.00
19910911,187.29,187.29,186.86,187.22,21392.0,14677000.00
19910912,186.22,187.40,186.07,186.22,19699.0,16265000.00
19910913,188.00,188.04,185.01,187.79,37434.0,24035000.00
19910916,189.55,189.66,187.79,189.66,9933.0,6343000.00
19910917,191.16,191.18,188.28,188.65,28829.0,18623000.00
19910918,187.26,188.59,187.18,187.63,15822.0,11015000.00
19910919,187.65,189.21,186.49,186.88,23439.0,14607000.00
19910920,185.77,187.21,185.66,185.92,12075.0,7417000.00
19910923,185.00,185.92,184.71,185.00,4034.0,2806000.00
19910924,183.96,185.04,183.69,184.08,1426.0,1002000.00
19910925,182.80,184.08,182.80,183.19,1389.0,934000.00
19910926,182.21,183.19,181.93,182.33,6541.0,4620000.00
19910927,183.12,183.89,181.19,181.82,33728.0,20416000.00
19910930,180.28,181.95,180.27,180.92,25594.0,22336000.00
19911003,181.55,182.48,179.80,182.48,18741.0,12329000.00
19911004,184.29,184.29,183.59,184.29,7360.0,5039000.00
19911007,185.95,186.00,185.41,186.00,11369.0,7291000.00
19911008,187.59,187.61,186.00,187.49,23745.0,15241000.00
19911009,188.49,189.12,186.31,189.12,20989.0,13440000.00
19911010,190.71,191.01,189.12,191.01,6638.0,4333000.00
19911011,192.84,192.88,191.01,192.85,10981.0,7251000.00
19911014,194.06,194.69,192.32,194.67,21493.0,13948000.00
19911015,196.58,196.61,194.67,196.61,11002.0,7265000.00
19911016,198.51,198.57,196.61,198.57,9562.0,6273000.00
19911017,200.50,200.51,198.57,200.51,6077.0,4136000.00
19911018,202.50,202.51,200.51,202.51,2968.0,2384000.00
19911021,204.53,204.53,202.51,204.53,3537.0,2514000.00
19911022,206.06,206.53,204.53,206.53,2128.0,1521000.00
19911023,208.06,208.25,206.53,208.25,2623.0,1980000.00
19911024,210.20,210.20,208.25,210.07,19357.0,13174000.00
19911025,210.34,211.97,209.71,211.86,32650.0,22263000.00
19911028,213.50,213.98,211.86,213.98,3217.0,2357000.00
19911029,215.63,215.78,213.98,215.78,2697.0,2069000.00
19911030,216.37,216.43,215.78,216.43,2380.0,1814000.00
19911031,218.59,218.60,216.43,218.60,3929.0,2914000.00
19911101,220.71,220.72,218.60,220.72,5906.0,4313000.00
19911104,222.77,222.77,220.79,222.77,4474.0,3352000.00
19911105,224.44,224.65,222.77,224.65,2805.0,2225000.00
19911106,226.83,226.88,224.65,226.88,2848.0,2188000.00
19911107,228.93,228.93,226.88,228.93,4833.0,4085000.00
19911108,230.99,231.22,228.93,231.22,14406.0,11039000.00
19911111,233.48,233.55,231.22,233.55,2474.0,2130000.00
19911112,235.75,235.80,233.55,235.80,895.0,914000.00
19911113,236.51,236.67,235.80,236.67,799.0,879000.00
19911114,237.39,237.45,236.67,237.45,862.0,940000.00
19911115,238.25,238.25,237.45,238.25,2058.0,1914000.00
19911118,240.04,240.62,238.25,240.62,1885.0,1534000.00
19911119,242.24,242.24,240.62,242.24,2310.0,2040000.00
19911120,244.50,244.50,242.24,244.50,2325.0,1929000.00
19911121,246.26,246.31,244.50,246.31,2155.0,2030000.00
19911122,248.24,248.53,246.31,248.53,2133.0,1954000.00
19911125,250.84,250.85,248.53,250.85,2331.0,1963000.00
19911126,252.90,252.97,250.85,252.97,2454.0,2326000.00
19911127,255.27,255.45,252.97,255.45,2120.0,1756000.00
19911128,257.28,257.35,255.45,257.35,2502.0,2251000.00
19911129,259.68,259.85,257.35,259.60,33695.0,28453000.00
19911202,261.78,262.19,259.67,262.19,19128.0,16310000.00
19911203,264.64,264.81,262.19,264.81,1101.0,1207000.00
19911204,265.53,265.77,264.81,265.77,742.0,903000.00
19911205,266.48,266.66,265.77,266.66,2050.0,2100000.00
19911206,269.34,269.35,266.66,269.35,1613.0,1798000.00
19911209,270.27,270.27,269.35,270.27,1631.0,1648000.00
19911210,270.27,272.91,270.27,272.91,516.0,665000.00
19911211,273.53,273.71,272.91,273.71,669.0,859000.00
19911212,274.41,274.41,273.71,274.41,1577.0,1644000.00
19911213,276.81,277.00,274.41,277.00,746.0,962000.00
19911216,277.53,277.85,277.00,277.85,580.0,817000.00
19911217,278.67,278.68,277.85,278.68,493.0,754000.00
19911218,279.32,279.51,278.68,279.51,760.0,893000.00
19911219,279.98,280.17,279.51,280.17,1094.0,1242000.00
19911220,282.83,282.83,280.63,282.83,4393.0,6268000.00
19911223,285.65,285.65,282.83,285.65,1046.0,1182000.00
19911224,285.74,286.22,285.65,286.22,486.0,593000.00
19911225,287.09,287.15,286.22,287.15,573.0,873000.00
19911226,288.03,288.03,287.15,288.03,1168.0,1422000.00
19911227,290.65,290.85,288.03,290.85,1551.0,1789000.00
19911230,291.71,291.71,290.85,291.71,1165.0,1881000.00
19911231,292.48,292.75,291.71,292.75,584.0,858000.00
19920102,293.74,293.75,292.76,293.75,928.0,1339000.00
19920103,296.24,296.52,293.75,296.52,1436.0,1842000.00
19920106,297.68,297.68,296.52,297.68,3400.0,4236000.00
19920107,298.54,298.77,297.68,298.77,892.0,1064000.00
19920108,299.65,299.66,298.77,299.66,659.0,930000.00
19920109,300.61,300.62,299.66,300.62,943.0,1244000.00
19920110,301.82,301.83,300.62,301.83,1605.0,2629000.00
19920113,302.83,303.06,302.00,303.06,725.0,1097000.00
19920114,304.77,305.74,303.06,305.74,632.0,858000.00
19920115,306.62,306.63,305.74,306.63,259.0,314000.00
19920116,306.85,306.85,306.63,306.85,378.0,488000.00
19920117,307.37,307.38,306.85,307.38,250.0,321000.00
19920120,307.38,307.39,307.38,307.39,445.0,502000.00
19920121,307.87,307.87,307.39,307.87,534.0,650000.00
19920122,307.95,307.95,307.87,307.95,312.0,439000.00
19920123,308.53,308.53,307.95,308.53,413.0,583000.00
19920124,309.05,309.05,308.53,309.05,722.0,1004000.00
19920127,311.60,311.61,309.05,311.61,562.0,750000.00
19920128,311.67,311.84,311.61,311.84,664.0,822000.00
19920129,312.41,312.58,311.84,312.42,401.0,450000.00
19920130,312.73,312.73,312.42,312.73,391.0,543000.00
19920131,313.24,313.24,312.73,313.24,354.0,586000.00
19920203,314.18,314.18,313.24,314.18,305.0,583000.00
19920207,314.72,314.72,314.18,314.72,327.0,527000.00
19920210,315.55,315.56,314.72,315.56,354.0,586000.00
19920211,316.12,316.43,315.56,316.43,296.0,460000.00
19920212,316.43,316.44,316.43,316.44,270.0,397000.00
19920213,317.24,317.57,317.06,317.04,1020.0,1680000.00
19920214,319.45,319.68,317.04,319.68,457.0,770000.00
19920217,319.77,319.77,319.68,319.77,6369.0,13782000.00
19920218,338.98,339.16,319.77,337.11,7407.0,12655000.00
19920219,340.50,342.41,337.11,342.41,9401.0,16501000.00
19920220,345.22,348.01,342.41,347.99,10341.0,20004000.00
19920221,358.91,359.93,347.99,359.59,11582.0,19254000.00
19920224,361.11,361.62,359.59,360.50,30157.0,18038000.00
19920225,359.66,361.29,357.07,360.37,4862.0,8037000.00
19920226,359.85,360.76,359.27,360.10,5753.0,8082000.00
19920227,361.00,363.03,360.10,362.45,9524.0,17931000.00
19920228,364.15,364.67,362.45,364.66,9862.0,26401000.00
19920302,365.15,365.39,364.66,365.39,3405.0,5644000.00
19920303,366.79,367.25,365.39,367.00,2989.0,3366000.00
19920304,367.56,368.28,366.95,368.32,5614.0,10360000.00
19920305,369.31,369.88,368.11,369.76,8360.0,14928000.00
19920306,370.79,371.76,369.76,371.76,5237.0,9958000.00
19920309,372.26,374.06,371.88,373.53,20968.0,22273000.00
19920310,374.48,375.23,373.53,375.23,5011.0,7452000.00
19920311,375.87,376.25,374.98,376.14,4001.0,11238000.00
19920312,377.55,377.57,376.14,376.92,10326.0,31594000.00
19920313,376.58,377.19,376.38,376.38,2527.0,4487000.00
19920316,377.00,377.42,376.38,377.05,2646.0,2265000.00
19920317,377.50,377.84,377.03,377.49,890.0,1340000.00
19920318,377.94,378.32,377.49,377.66,4028.0,2252000.00
19920319,377.26,377.96,376.21,377.31,13628.0,35111000.00
19920320,377.91,378.03,377.31,377.99,3160.0,7844000.00
19920323,378.61,379.04,377.45,378.89,10290.0,24375000.00
19920324,378.53,379.50,378.05,378.69,4378.0,7016000.00
19920325,378.33,379.02,378.12,378.12,11820.0,21445000.00
19920326,379.29,379.34,377.64,379.13,10225.0,24177000.00
19920327,379.65,380.79,379.13,380.77,1892.0,5469000.00
19920330,381.54,381.56,380.76,381.44,12655.0,40359000.00
19920331,381.87,382.06,381.24,381.24,17391.0,53853000.00
19920401,381.55,381.85,381.01,381.01,4065.0,7767000.00
19920402,381.47,381.58,381.01,381.12,1673.0,3193000.00
19920403,381.44,381.57,381.12,381.33,1700.0,3377000.00
19920406,381.97,382.08,381.33,381.47,5298.0,14543000.00
19920407,381.95,382.10,381.47,381.93,10613.0,30266000.00
19920408,382.53,382.59,381.92,382.43,1866.0,5277000.00
19920409,381.93,382.88,381.65,381.65,3168.0,7148000.00
19920410,381.52,382.04,381.20,382.03,7066.0,13499000.00
19920413,387.27,392.28,382.03,391.11,20593.0,52440000.00
19920414,393.10,400.61,391.10,400.61,9415.0,25184000.00
19920415,400.35,406.72,398.23,406.72,10566.0,25157000.00
19920416,404.07,410.61,403.52,410.55,39211.0,57466000.00
19920417,408.56,414.42,406.19,414.42,15678.0,45102000.00
19920420,417.19,420.99,413.64,413.85,10170.0,23206000.00
19920421,417.99,421.55,402.89,410.06,51257.0,72181000.00
19920422,400.12,410.06,399.87,399.88,50596.0,73539000.00
19920423,407.13,408.86,394.60,407.25,54718.0,71062000.00
19920424,405.88,415.05,397.74,414.40,34706.0,47646000.00
19920427,422.45,424.92,413.47,424.58,37257.0,53584000.00
19920428,434.90,436.31,424.58,436.09,42392.0,53950000.00
19920429,445.25,446.12,436.09,444.16,52899.0,66766000.00
19920430,435.73,448.94,433.66,445.38,45704.0,52587000.00
19920504,454.86,456.24,445.38,453.62,64362.0,101358000.00
19920505,447.42,455.36,439.96,449.21,49359.0,78293000.00
19920506,449.78,454.08,446.39,449.96,33687.0,54371000.00
19920507,452.86,457.05,449.55,454.65,34414.0,51743000.00
19920508,461.05,468.42,454.65,468.11,48634.0,84729000.00
19920511,483.29,490.19,468.11,491.50,30950.0,60650000.00
19920512,502.80,506.68,491.50,506.53,33278.0,65369000.00
19920513,505.27,517.86,499.40,514.04,33897.0,64664000.00
19920514,514.48,523.50,511.91,523.36,33010.0,60063000.00
19920515,529.39,544.56,523.36,544.35,63283.0,75109000.00
19920518,560.09,571.85,544.35,571.82,29992.0,61340000.00
19920519,590.41,598.11,571.82,598.11,47790.0,58722000.00
19920520,617.28,623.88,598.11,616.99,65646.0,119286000.00
19920521,1260.32,1334.98,604.01,1266.49,89657.0,181276992.00
19920522,1306.37,1349.71,1262.44,1339.99,93725.0,204172992.00
19920525,1411.98,1428.79,1339.99,1421.57,88969.0,222428992.00
19920526,1332.39,1429.01,1291.00,1301.35,68128.0,149448000.00
19920527,1250.56,1285.61,823.36,1193.17,64528.0,138824000.00
19920528,1123.04,1184.18,1114.94,1160.17,48389.0,117388000.00
19920529,1243.65,1253.37,1154.01,1234.71,51615.0,135996992.00
19920601,1175.69,1249.58,1129.28,1183.24,39394.0,105366000.00
19920602,1155.88,1184.28,1138.58,1141.02,34033.0,84509000.00
19920603,1075.90,1141.02,1033.47,1059.07,41002.0,91844000.00
19920604,1087.49,1118.93,1050.45,1104.46,43184.0,94263000.00
19920605,1125.01,1143.07,1099.91,1105.76,44007.0,100847000.00
19920608,1092.07,1121.41,1085.19,1093.46,28747.0,66441000.00
19920609,1116.92,1144.39,1079.65,1126.62,35100.0,81673000.00
19920610,1199.23,1206.51,1134.73,1187.02,58732.0,154616992.00
19920611,1179.28,1188.68,1172.09,1178.30,34897.0,107985000.00
19920612,1164.12,1178.30,1153.97,1171.71,47202.0,117698000.00
19920615,1174.41,1181.86,1152.69,1171.85,37747.0,93130000.00
19920616,1171.75,1135.60,1164.24,1166.70,35158.0,92530000.00
19920617,1171.29,1186.59,1166.26,1169.57,34755.0,90657000.00
19920618,1167.16,1172.86,1158.32,1168.43,29101.0,65289000.00
19920619,1169.97,1171.94,1161.80,1171.94,25146.0,60859000.00
19920622,1173.68,1180.21,1165.74,1169.90,27924.0,71392000.00
19920623,1162.83,1172.46,1154.62,1158.17,19490.0,56443000.00
19920624,1150.89,1158.17,1144.46,1151.06,16975.0,44772000.00
19920625,1153.48,1160.23,1148.02,1160.23,19846.0,58837000.00
19920626,1164.29,1207.82,1160.23,1164.67,29061.0,92243000.00
19920629,1168.89,1173.49,1156.68,1169.51,53610.0,114991000.00
19920630,1186.62,1193.16,1169.51,1191.19,58976.0,160259008.00
19920701,1199.54,1215.13,1182.05,1194.18,58330.0,122926000.00
19920702,1187.30,1198.66,1179.86,1187.48,46512.0,101151000.00
19920703,1189.09,1193.39,1183.96,1189.16,75245.0,190398000.00
19920706,1197.76,1215.24,1190.27,1201.01,63782.0,195780000.00
19920707,1201.01,1206.91,1195.81,1206.46,68826.0,204760000.00
19920708,1192.37,1211.27,1182.72,1185.50,68043.0,138880000.00
19920709,1172.44,1187.18,1168.78,1178.53,53216.0,130815000.00
19920710,1175.14,1192.98,1166.45,1188.62,58149.0,134101000.00
19920713,1156.83,1198.90,1131.21,1136.33,51595.0,123468000.00
19920714,1124.65,1139.96,1110.19,1114.05,44462.0,95340000.00
19920715,1107.18,1135.57,1100.16,1107.69,44812.0,121584000.00
19920716,1114.13,1214.83,1108.23,1124.64,50464.0,151032000.00
19920717,1121.49,1134.32,1116.14,1125.56,62671.0,115821000.00
19920720,1100.60,1126.96,1094.81,1098.82,31699.0,67313000.00
19920721,1087.61,1096.49,1079.75,1082.39,35912.0,66221000.00
19920722,1059.22,1081.81,1034.91,1035.66,47347.0,105623000.00
19920723,1020.07,1033.75,961.61,1014.57,77014.0,137012992.00
19920724,1165.89,1178.90,1014.08,1142.02,57155.0,100041000.00
19920727,1169.42,1178.81,1108.05,1149.33,59560.0,122257000.00
19920728,1126.88,1148.63,1102.02,1105.95,78387.0,105616000.00
19920729,1078.31,1108.06,1047.03,1087.12,68987.0,85225000.00
19920730,1067.45,1087.36,1043.79,1057.40,99108.0,88690000.00
19920731,1045.67,1052.07,1032.54,1052.07,87149.0,77149000.00
19920803,1034.70,1060.36,1026.83,1031.55,60103.0,73754000.00
19920804,1018.30,1036.33,1016.16,1035.63,52472.0,63035000.00
19920805,1015.76,1038.30,1011.66,1012.55,61146.0,76139000.00
19920806,988.38,1010.76,983.22,1002.17,72555.0,108106000.00
19920807,1003.22,1006.11,995.71,1005.23,78256.0,101706000.00
19920810,992.73,1006.64,956.55,964.09,81781.0,111257000.00
19920811,926.81,961.61,797.60,863.41,106999.0,153828000.00
19920812,675.00,843.30,627.36,781.21,144831.0,188800992.00
19920813,797.17,890.06,745.62,850.94,115594.0,171260000.00
19920814,857.10,900.51,818.12,858.38,104407.0,159447008.00
19920817,898.66,940.76,858.38,939.46,113357.0,190291008.00
19920818,954.89,999.69,921.98,933.44,148494.0,259400992.00
19920819,920.66,951.16,888.23,939.51,75952.0,131836000.00
19920820,930.70,946.73,918.65,932.32,160565.0,177488000.00
19920821,916.99,938.37,912.89,916.25,170567.0,189594000.00
19920824,888.95,920.85,881.33,884.10,99347.0,155058000.00
19920825,868.10,887.49,848.05,849.57,84662.0,135092000.00
19920826,841.42,877.25,827.36,877.25,126153.0,153392000.00
19920827,874.75,880.02,861.64,863.77,54258.0,89723000.00
19920828,851.60,866.98,825.01,848.20,74884.0,95684000.00
19920831,833.50,848.40,823.02,823.27,54296.0,77675000.00
19920901,826.96,832.84,807.37,824.96,78694.0,87529000.00
19920902,803.83,826.68,783.96,787.67,93924.0,140242000.00
19920903,749.22,781.33,742.74,764.11,163730.0,206650000.00
19920904,759.54,776.18,749.46,753.58,98772.0,130811000.00
19920907,745.69,788.15,700.79,702.83,87105.0,135455008.00
19920908,653.36,702.83,595.42,640.12,100634.0,130824000.00
19920909,613.44,643.77,608.06,635.74,111908.0,131749000.00
19920910,643.21,695.18,622.01,692.78,113109.0,142572000.00
19920911,773.22,789.18,719.39,776.29,117294.0,165860000.00
19920914,762.82,793.36,714.93,734.98,137270.0,195830000.00
19920915,727.11,751.22,694.32,738.16,119373.0,157671008.00
19920916,762.29,776.68,738.16,769.04,143926.0,203054000.00
19920917,770.65,779.56,751.08,761.72,94181.0,144744992.00
19920918,715.89,761.72,715.89,754.40,61707.0,81858000.00
19920921,740.97,760.13,730.30,733.44,81728.0,116545000.00
19920922,730.71,736.90,716.23,722.70,69552.0,91083000.00
19920923,719.41,725.59,708.50,712.37,65590.0,82873000.00
